A1,"工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 需求分析與設計
    - 仔細閱讀並理解EIP-1056智能合約程式接口需求。
    - 研究secp256r1橢圓曲線加密辦法，以確保簽章驗證之可行性。
    - 規劃智能合約架構與功能，確保滿足所有定義項目。
2. 進行智能合約編程
    - 根據設計架構撰寫合約代碼，確保符合EIP-1056接口定義。
    - 引入並測試secp256r1簽章驗證邏輯，確認其可行性與準確性。
    - 撰寫單元測試，測試智能合約的各種功能與簽章驗證。
3. 初步測試與調整
    - 使用部分測試資料進行初步測試，確認代碼的正確性。
    - 收集並分析初步測試結果，針對不足之處進行調整與改進。
    - 修正代碼中的錯誤，並重複測試以確認問題解決。
","

工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 資料集準備與測試
    - 使用公開資料集，從中隨機挑選十份資料作為測試樣本。
    - 針對每份資料進行secp256r1簽章驗證測試，確認其有效性。
    - 將簽章驗證結果進行記錄，包括每個測試的通過與否。
2. 智能合約部署
    - 準備部署所需的區塊鏈環境，確保所有依賴項目一應俱全。
    - 將智能合約部署至區塊鏈上，記錄部署過程中的所有操作與結果。
    - 使用區塊鏈瀏覽器驗證合約狀態，確認合約已成功部署並啟動。
3. 測試結果總結
    - 匯總所有測試結果，製作測試報告一式，包含每個測試的詳細說明。
    - 評估簽章驗證邏輯的準確性及其在智能合約中的應用效果。
    - 根據測試結果撰寫部署報告，記錄智能合約的部署進度與狀況。
","

工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 測試報告撰寫與提交
    - 編寫詳細的測試報告，包含所有簽章驗證測試的通過與否。
    - 確保報告包含清晰的測試步驟、結果以及任何遇到的問題和解決方法。
    - 提交最終測試報告予相關團隊或主管，確認所有工作完成。
2. 部署狀況核查
    - 定期檢查區塊鏈瀏覽器，確保智能合約持續運作正常。
    - 收集並記錄智能合約的運行情況，確認無異常發生。
    - 根據運行狀況，評估是否需要進一步優化或調整代碼。
3. 專案結案
    - 完成專案相關的所有文書工作，確保記錄完整。
    - 與團隊成員進行回顧會議，總結專案經驗教訓。
    - 完成立項總結報告，為未來專案提供參考及改進建議。"
A1,,"
工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 設計智能合約
    - 根據EIP-1056標準草擬智能合約程式介面的定義。
    - 開發智能合約的初步版本並測試其基本功能。
    - 確保智能合約能支援secp256r1橢圓區線加密簽章驗證。
2. 測試資料準備
    - 從公開資料集中隨機選取十份資料作為測試樣本。
    - 確認選取的資料適用於secp256r1簽章驗證測試。
    - 並在測試過程中記錄每一份資料的簽章驗證結果。
3. 預備部署計畫
    - 制定智能合約部署到區塊鏈上的詳細計畫。
    - 設定相應的區塊鏈測試環境以模擬真實場景。
    - 準備好部署過程中的必要工具和資源。

","
工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 實裝與功能實現
    - 按照EIP-1056標準完善智能合約的程式介面。
    - 完成智能合約支援secp256r1橢圓區線加密的簽章驗證功能。
    - 撰寫單元測試確保每一個功能模組正常運行。
2. 簽章驗證測試
    - 使用準備好的十份公開資料集進行secp256r1簽章驗證測試。
    - 記錄每項測試的通過與否，並分析失敗原因。
    - 編寫測試報告，包含各項測試的詳細結果和測試環境描述。
3. 部署前檢查
    - 確認智能合約的所有功能已經過充分測試。
    - 檢查智能合約與區塊鏈環境的兼容性。
    - 使用測試環境模擬部署過程，確保正式部署流程順利。

","
工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 正式部署
    - 根據檢查結果進行智能合約的正式部署到主網。
    - 確認部署過程中無任何錯誤或中斷。
    - 紀錄區塊鏈瀏覽器上的合約部署連結以供查閱。
2. 部署後測試
    - 再次使用已記錄好的十份公開資料集進行檢驗。
    - 驗證合約在區塊鏈上的運行狀況是否正常。
    - 確保所有測試資料的簽章驗證結果與預期一致。
3. 撰寫最終報告
    - 編制最終的智能合約開發與測試報告，包含過程描述和結果分析。
    - 提供測試通過與否的詳細報告一式。
    - 將區塊鏈瀏覽器上的合約連結附加到報告中以供參考。"
A1,"工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 設計EIP-1056智能合約介面
    - 依據EIP-1056規範，設計12項智能合約的介面和功能
    - 確認每項功能描述並在合約中進行定義
    - 確保合約介面支援secp256r1橢圓區線加密簽章驗證
2. 收集並準備測試資料
    - 使用公開資料集，隨機挑選10份資料
    - 準備測試所需的簽章和對應的公鑰
    - 記錄資料來源及其使用情況
3. 編寫與測試智能合約
    - 撰寫智能合約的所有功能模塊
    - 用選取的資料進行secp256r1簽章驗證測試
    - 記錄每項測試的通過與否並整理成測試報告

","

工作記錄
查核點編號： A1 智能合約開發
記錄時間： 113年4-6月

工作流程與步驟：
1. 執行智能合約測試
    - 使用事先隨機挑選的10份資料來測試合約簽章驗證功能
    - 確認智能合約能夠正確識別與驗證簽章
    - 針對每份資料的測試結果進行詳細記錄
2. 修正和優化智能合約
    - 根據測試結果修正智能合約中的問題
    - 優化合約的效能和簽章驗證速度
    - 確保所有12項EIP-1056定義的智能合約功能無誤
3. 撰寫測試報告
    - 整理測試過程和最終結果
    - 每項測試根據通過與否進行分類記錄
    - 完成並儲存測試報告以供參考

","

工作記錄
查核點編號： A1 智能合約開發
